EPOCHS_EMPTY_FROM_MVT_TMIN,EPOCHS_LENGTH,EPOCHS_TMIN,FMAX,FMIN,pipeline,cov__estimator,score_A,score_B,score_C,score_X,duration_preprocessing,duration_train,memory,FILE_PATH,NUMBER_OF_SESSIONS,RANDOM_STATE,N_SPLIT,BINARY_CLASSIFICATION,VERSION,PATH_RESULTS,NAME_RESULTS,PATH_DATA_PROCESSED,FOLDER_RESULTS_ITERATIONS,NAME_RESULTS_ITERATIONS,LOG_FOLDER,SAVE_EACH_ITERATION,REMOVE_ITERATIONS,REMOVE_DATA_PROCESSED,version
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()), ('ss', StandardScaler()), ('clf', RandomForestClassifier())])",oas,0.8027220776282318,0.7964859915160719,0.7183906804300977,0.8118088402298802,425.77269172668457,304.96848917007446,2542.9375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()),
                ('ss', StandardScaler()), ('clf', SVC())])",oas,0.8553145359027101,0.8398040446418782,0.7611696797461018,0.8565522955697209,492.482501745224,294.44576120376587,1885.15625,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('csp',
                 CSP({'component_order': 'mutual_info',
 'cov_est': 'concat',
 'cov_method_params': None,
 'log': True,
 'n_components': 4,
 'norm_trace': False,
 'rank': None,
 'reg': None,
 'transform_into': 'average_power'})),
                ('clf', AdaBoostClassifier())])",,0.6998334457715446,0.7114325045630985,0.6939970580172219,0.709978178934352,492.482501745224,440.6961345672608,1755.01171875,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('vec', MyVectorizer()), ('ss', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",,0.4923826991324497,0.4831573076856377,0.4909301805316881,0.4931737355401762,492.482501745224,2418.6051783561707,1794.69140625,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()),
                ('ss', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",oas,0.7967015657414289,0.759258279131106,0.722537688997835,0.794199961238621,689.8889927864075,251.01304483413696,1931.30859375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()),
                ('ss', StandardScaler()), ('clf', RandomForestClassifier())])",,0.6301406209348299,0.6237747626905834,0.5879554443179074,0.6445539341511822,689.8889927864075,198.609436750412,1741.65625,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()), ('ss', StandardScaler()), ('clf', SVC())])",,0.544365960361064,0.5655501717621088,0.5606945644127472,0.5626885416369471,696.7419068813324,186.4618661403656,1763.2109375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()),
                ('ss', StandardScaler()), ('clf', AdaBoostClassifier())])",oas,0.7690062800223412,0.7444909925824558,0.6909719955634783,0.7701746781050962,434.112628698349,401.0440740585327,2540.96484375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()),
                ('ss', StandardScaler()),
                ('clf', LinearDiscriminantAnalysis())])",,0.5837699742692302,0.5889358539964353,0.5600268447992884,0.5876197056621952,434.112628698349,126.49402356147766,1758.71875,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('csp',
                 CSP({'component_order': 'mutual_info',
 'cov_est': 'concat',
 'cov_method_params': None,
 'log': True,
 'n_components': 4,
 'norm_trace': False,
 'rank': None,
 'reg': None,
 'transform_into': 'average_power'})),
                ('clf', RandomForestClassifier())])",,0.7216116372491118,0.7067596251443471,0.6714040974489538,0.7292020370534948,696.9299349784851,457.6775689125061,1929.63671875,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('csp',
                 CSP({'component_order': 'mutual_info',
 'cov_est': 'concat',
 'cov_method_params': None,
 'log': True,
 'n_components': 4,
 'norm_trace': False,
 'rank': None,
 'reg': None,
 'transform_into': 'average_power'})),
                ('clf', SVC())])",,0.7214379738509327,0.7160387895117271,0.7076244479891123,0.7289437544397764,675.2960894107819,453.02541875839233,2363.08203125,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()),
                ('ss', StandardScaler()), ('clf', AdaBoostClassifier())])",,0.6029010747284091,0.6096175032915061,0.5783163935916942,0.6272954831835331,675.2960894107819,223.37144494056705,1732.6484375,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('csp',
                 CSP({'component_order': 'mutual_info',
 'cov_est': 'concat',
 'cov_method_params': None,
 'log': True,
 'n_components': 4,
 'norm_trace': False,
 'rank': None,
 'reg': None,
 'transform_into': 'average_power'})),
                ('clf', LinearDiscriminantAnalysis())])",,0.7145692213755027,0.7110812153019422,0.6992383201344573,0.7141347853550293,421.94153881073,472.2031672000885,2539.3046875,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('vec', MyVectorizer()), ('ss', StandardScaler()),
                ('clf', RandomForestClassifier())])",,0.6074496073851151,0.6188703743272288,0.6199066569082002,0.6146136862224139,421.94153881073,1345.3907537460327,1739.0078125,./../../../data/raw/Data_npy/,-1,42,4,True,1,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,
-6,1.7,-0.75,30,9,"Pipeline(steps=[('cov', Covariances(estimator='oas')), ('ts', TangentSpace()),
                ('ss', StandardScaler()), ('clf', LogisticRegression())])",oas,0.7778032503528299,0.7667487848313952,0.700830003422652,0.7764367209773637,633.9324827194214,235.28169798851013,1896.05078125,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,v2
-6,1.7,-0.75,30,9,"Pipeline(steps=[('csp',
                 CSP({'component_order': 'mutual_info',
 'cov_est': 'concat',
 'cov_method_params': None,
 'log': True,
 'n_components': 4,
 'norm_trace': False,
 'rank': None,
 'reg': None,
 'transform_into': 'average_power'})),
                ('clf', LogisticRegression())])",,0.7136894745250442,0.7122534114221949,0.6986527673977969,0.712243499579323,497.6991186141968,429.9282646179199,1885.75,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,v2
-6,1.7,-0.75,30,9,"Pipeline(steps=[('xdawn', XdawnCovariances()), ('vec', MyVectorizer()),
                ('ss', StandardScaler()), ('clf', LogisticRegression())])",,0.5822507358364069,0.6040910702116506,0.5685079370997956,0.6075726574105991,497.6005642414093,125.72082710266112,1889.984375,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,v2
-6,1.7,-0.75,30,9,"Pipeline(steps=[('vec', MyVectorizer()), ('ss', StandardScaler()),
                ('clf', LogisticRegression())])",,0.4935528686374802,0.4811532159527424,0.494980783655133,0.4947909198190426,418.9352374076843,374.0969257354736,3724.58203125,./../../../data/raw/Data_npy/,-1,42,4,True,2,./results/,many_pipelines_MVT_search_preproc,./data/processed/,/iterations/,many_pipelines_MVT_search_preproc_iter,./logs/,True,True,True,v2
